Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Afghanistan,AFG,1990,299.4773089,250.3629097,46.44658944,5.616442031
Afghanistan,AFG,1991,291.2779667,242.575125,46.03384057,5.603960116
Afghanistan,AFG,1992,278.9630556,232.0438779,44.24376603,5.611822065
Afghanistan,AFG,1993,278.7908147,231.6481335,44.44014814,5.655266063
Afghanistan,AFG,1994,287.1629232,238.8371768,45.59432841,5.718922221
Afghanistan,AFG,1995,288.0142237,239.9065987,45.36714113,5.739173782
Afghanistan,AFG,1996,286.6425885,238.5120505,45.38359108,5.747049995
Afghanistan,AFG,1997,286.4474546,238.1135199,45.58506218,5.755508661
Afghanistan,AFG,1998,286.2652019,238.6801502,44.83748989,5.75854458
Afghanistan,AFG,1999,286.6360183,238.5392941,45.32550114,5.793572911
Afghanistan,AFG,2000,283.7862708,235.9487737,45.03400426,5.844865492
Afghanistan,AFG,2001,281.8835209,233.7170407,45.31938333,5.921335306
Afghanistan,AFG,2002,273.3370933,225.0864304,45.37351074,5.931653631
Afghanistan,AFG,2003,271.3029071,221.8693563,46.53360142,5.924058422
Afghanistan,AFG,2004,269.1035306,219.96916,46.23059194,5.922088524
Afghanistan,AFG,2005,260.5358498,211.4755232,46.13937079,5.903108197
Afghanistan,AFG,2006,255.1756174,205.9212386,46.31941633,5.911068319
Afghanistan,AFG,2007,246.5212698,196.5405902,47.01208605,5.909290961
Afghanistan,AFG,2008,237.5095919,187.794193,46.73689634,5.893699182
Afghanistan,AFG,2009,228.7571907,178.9304199,46.83337166,5.866966391
Afghanistan,AFG,2010,221.5255718,171.7881628,46.73326875,5.83713869
Afghanistan,AFG,2011,214.332694,163.0263057,48.29018831,5.801864743
Afghanistan,AFG,2012,207.3887022,156.2018668,48.14822551,5.783817256
Afghanistan,AFG,2013,200.9056401,151.4522242,46.37609039,5.774365235
Afghanistan,AFG,2014,195.4369582,147.1349129,45.19389823,5.768401179
Afghanistan,AFG,2015,191.801119,141.3542376,47.33453691,5.74608172
Afghanistan,AFG,2016,186.6689494,138.6635433,44.82619553,5.779466385
Afghanistan,AFG,2017,183.9413871,134.9937531,45.73766239,5.810624892
Albania,ALB,1990,82.82894666,56.54026788,23.48301927,4.174149927
Albania,ALB,1991,85.18566538,58.09981076,24.26308036,4.190511674
Albania,ALB,1992,82.29695912,56.34285561,23.27497014,3.975273714
Albania,ALB,1993,78.38163032,53.66371,22.21174507,3.71149915
Albania,ALB,1994,73.23275142,49.80347178,21.1096963,3.422556449
Albania,ALB,1995,72.00136443,48.63388617,21.10202565,3.330374073
Albania,ALB,1996,72.99011539,48.70885814,21.97476416,3.378229915
Albania,ALB,1997,71.82323515,47.1485231,22.39841286,3.318026343
Albania,ALB,1998,68.42003028,44.04100851,22.19133684,3.172331128
Albania,ALB,1999,66.56719156,41.98694541,22.47926513,3.029409015
Albania,ALB,2000,65.21774698,40.59188455,22.6152449,2.887764584
Albania,ALB,2001,61.84784765,37.64061681,22.32258625,2.691947489
Albania,ALB,2002,60.81615675,36.19758327,22.8092342,2.570634881
Albania,ALB,2003,60.30528396,35.27001758,23.27845876,2.483838358
Albania,ALB,2004,58.93952874,33.65484508,23.58744164,2.385973682
Albania,ALB,2005,56.54000841,31.70394918,23.24032746,2.232689432
Albania,ALB,2006,53.73309017,29.28574609,22.94856366,2.086125858
Albania,ALB,2007,49.71344604,26.20356377,22.12168544,1.921080693
Albania,ALB,2008,48.40928803,24.72081851,22.35048763,1.841346425
Albania,ALB,2009,46.58618307,23.25573036,22.04170805,1.766481875
Albania,ALB,2010,45.39339952,22.13797544,21.97991106,1.74086669
